Observer,Transect_number,Observer_Transect_number,PointID,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
DP,1,1,1A,LE,0,9,6,0,4,0,1,15,58,2,1,1,0,3
DP,1,1,1B,LE,0,6,3,1,1,0,2,17,60,2,1,1,1,3
DP,1,1,1C,LE,0,10,5,0,1,0,3,15,52,2,1,1,0,3
DP,1,1,1D,LE,0,5,0,0,4,0,6,14,57,1,1,1,2,4
MG,2,1,1A,LE,0,5,0,16,0,7,2,2,12,2,1,1,0,3
MG,2,1,1B,LE,0,8,3,0,9,3,1,15,51,2,1,1,1,3
MG,2,1,1C,LE,0,2,0,3,0,17,1,3,26,2,1,2,0,3
MG,2,1,1D,LE,0,1,10,2,1,0,1,15,62,2,1,1,1,3
DP,3,2,2A,LE,0,11,6,2,0,0,0,15,62,1,1,1,0,4
DP,3,2,2B,LE,0,10,11,0,0,0,3,15,60,3,2,2,1,2
DP,3,2,2C,LE,0,13,3,3,0,0,2,14,55,1,1,2,2,4
DP,3,2,2D,LE,1,9,3,0,0,0,2,11,64,3,1,2,2,1
MG,4,2,2A,LE,0,8,9,1,2,0,0,15,61,1,1,2,2,3
MG,4,2,2B,LE,0,8,3,11,1,4,0,15,63,1,1,1,2,4
MG,4,2,2C,LE,0,8,11,0,1,0,0,17,78,1,1,2,2,4
MG,4,2,2D,LE,0,10,15,0,1,0,1,17,74,1,1,2,2,4
DP,5,3,3A,LE,1,7,5,0,0,0,2,15,50,1,1,2,1,4
DP,5,3,3B,LE,0,5,3,0,0,0,0,15,35,1,2,2,1,3
DP,5,3,3C,LE,1,7,10,0,0,0,2,17,47,2,1,2,0,2
DP,5,3,3D,LE,0,5,7,0,0,0,4,13,50,2,1,2,1,3
MG,6,3,3A,LE,1,9,14,0,0,0,0,17,70,1,1,2,2,4
MG,6,3,3B,LE,0,5,13,1,1,0,1,16,55,2,1,2,1,3
MG,6,3,3C,LE,1,8,3,0,0,0,0,18,62,1,1,2,2,3
MG,6,3,3D,LE,1,5,15,0,1,0,1,11,53,1,1,2,2,3
DP,7,4,4A,LE,1,6,6,7,0,5,0,11,68,1,1,2,0,3
DP,7,4,4B,LE,1,7,3,7,0,0,1,13,38,1,1,2,0,2
DP,7,4,4C,LE,0,8,8,4,1,0,0,9,44,1,1,1,0,2
DP,7,4,4D,LE,1,11,5,2,0,5,1,13,43,1,1,1,0,3
MG,8,4,4A,LE,1,9,25,0,4,1,0,10,45,2,1,2,0,3
MG,8,4,4B,LE,1,17,20,2,7,5,0,14,48,2,1,2,0,3
MG,8,4,4C,LE,1,10,18,1,3,1,0,12,47,2,1,2,0,3
MG,8,4,4D,LE,0,15,19,0,2,5,0,13,51,2,1,2,0,3
DP,9,5,5A,LE,1,6,7,1,0,0,0,13,51,1,1,1,0,3
DP,9,5,5B,LE,0,7,6,2,0,0,2,15,64,1,1,1,0,3
DP,9,5,5C,LE,0,8,7,0,0,0,2,14,72,1,1,2,0,3
DP,9,5,5D,LE,0,6,7,0,0,0,2,14,72,1,1,2,1,3
MG,10,5,5A,LE,0,11,30,0,1,0,0,13,47,2,1,2,0,3
MG,10,5,5B,LE,1,5,17,1,0,0,0,13,58,2,1,2,0,3
MG,10,5,5C,LE,0,8,15,0,10,0,0,15,46,2,1,2,0,3
MG,10,5,5D,LE,0,10,22,0,2,0,0,11,43,2,1,2,0,3
DP,11,6,6A,LE,1,9,7,0,0,0,2,14,72,1,1,2,0,3
DP,11,6,6B,LE,1,9,8,8,0,0,0,20,50,1,1,1,0,3
DP,11,6,6C,LE,1,9,6,6,0,0,0,17,43,1,1,2,0,3
DP,11,6,6D,LE,1,9,5,5,0,0,1,16,48,1,1,2,0,3
MG,12,6,6A,LE,1,13,20,0,5,6,1,14,46,2,1,2,0,2
MG,12,6,6B,LE,1,10,13,13,0,0,0,12,56,2,1,2,0,3
MG,12,6,6C,LE,0,9,4,0,14,1,1,14,55,2,1,2,0,2
MG,12,6,6D,LE,1,9,16,5,0,0,0,13,63,2,1,2,0,2
DP,13,7,7A,LE,0,9,15,0,2,0,0,22,23,4,1,2,2,1
DP,13,7,7B,LE,0,5,8,12,0,0,4,10,20,2,1,1,2,2
DP,13,7,7C,LE,1,7,8,3,0,0,3,15,14,1,1,2,2,4
DP,13,7,7D,LE,0,5,0,0,0,0,14,9,22,2,1,2,2,3
MG,14,7,7A,LE,0,7,10,1,0,0,2,11,44,4,1,2,2,2
MG,14,7,7B,LE,0,5,12,0,0,0,2,12,55,2,1,2,2,3
MG,14,7,7C,LE,0,19,21,0,0,0,4,12,47,4,1,2,2,2
MG,14,7,7D,LE,0,11,12,0,0,0,1,13,60,3,1,1,2,3
DP,15,8,8A,LE,0,4,0,8,3,0,1,12,40,3,1,2,0,2
DP,15,8,8B,LE,0,6,20,0,20,0,0,15,34,1,1,2,0,3
DP,15,8,8C,LE,0,7,3,4,1,0,0,8,21,1,1,1,0,1
DP,15,8,8D,LE,0,5,7,4,11,0,2,8,46,1,1,1,0,3
MG,16,8,8A,LE,0,12,0,0,19,3,2,8,34,2,1,2,0,3
MG,16,8,8B,LE,1,8,0,0,30,2,0,10,51,2,1,2,0,3
MG,16,8,8C,LE,0,10,1,0,20,4,1,10,35,2,1,2,0,3
MG,16,8,8D,LE,1,13,3,0,13,1,0,12,32,2,1,2,0,3
DP,17,9,9A,LE,0,8,8,0,0,0,0,18,55,2,1,1,0,3
DP,17,9,9B,LE,1,5,13,3,3,0,0,17,66,2,1,2,0,4
DP,17,9,9C,LE,0,3,6,6,1,0,1,18,60,2,1,1,0,4
DP,17,9,9D,LE,0,6,3,4,2,0,1,9,36,2,1,1,0,3
MG,18,9,9A,LE,0,8,12,0,10,0,2,11,36,2,1,2,0,3
MG,18,9,9B,LE,0,2,9,8,1,11,2,14,53,2,1,2,0,3
MG,18,9,9C,LE,0,10,14,0,2,0,2,14,58,3,1,1,0,3
MG,18,9,9D,LE,0,5,9,10,1,12,1,17,45,2,1,2,1,3
DP,19,10,10A,LE,0,10,7,1,1,0,6,18,71,4,1,2,0,1
DP,19,10,10B,LE,0,8,8,4,0,0,0,23,48,3,1,2,0,2
DP,19,10,10C,LE,1,12,7,8,0,0,2,16,56,2,1,2,0,3
DP,19,10,10D,LE,1,5,9,6,0,0,3,17,53,2,1,2,0,1
MG,20,10,10A,LE,1,7,8,0,1,0,3,17,50,3,1,1,0,3
MG,20,10,10B,LE,0,9,5,2,1,0,6,16,57,3,2,1,2,2
MG,20,10,10C,LE,0,9,11,0,1,0,2,16,58,3,1,1,1,2
MG,20,10,10D,LE,0,8,11,0,0,0,5,17,55,3,1,1,1,2
DP,21,11,11A,LE,1,5,11,4,0,0,0,19,59,2,1,2,0,3
DP,21,11,11B,LE,0,7,12,4,0,0,1,18,44,2,1,2,0,2
DP,21,11,11C,LE,1,18,6,4,2,0,0,13,41,2,1,2,0,3
DP,21,11,11D,LE,1,9,5,3,0,1,0,16,56,2,1,2,0,3
MG,22,11,11A,LE,0,5,28,0,0,0,0,14,57,3,1,2,0,2
MG,22,11,11B,LE,0,6,12,0,1,0,1,15,42,3,1,2,1,2
MG,22,11,11C,LE,0,9,11,2,0,2,3,16,56,2,1,2,0,3
MG,22,11,11D,LE,0,6,7,5,1,15,2,15,47,2,1,2,0,3
DP,23,12,12A,LE,0,4,9,10,4,0,0,9,44,5,2,2,0,0
DP,23,12,12B,LE,0,14,14,15,0,0,0,11,50,5,2,2,0,0
DP,23,12,12C,LE,0,9,16,0,0,0,1,12,52,5,2,2,1,0
DP,23,12,12D,LE,0,2,8,5,2,0,0,17,55,4,1,1,0,1
MG,24,12,12A,LE,1,11,24,1,0,0,1,13,47,4,2,2,0,0
MG,24,12,12B,LE,0,9,18,13,2,0,0,10,35,4,2,2,0,0
MG,24,12,12C,LE,0,10,16,18,0,0,0,12,47,4,2,2,1,0
MG,24,12,12D,LE,0,8,26,15,1,0,0,12,44,5,2,2,0,1
DP,25,13,13A,LE,1,6,10,7,0,0,5,12,36,1,1,1,0,4
DP,25,13,13B,LE,1,9,8,10,0,0,0,13,41,1,1,1,0,4
DP,25,13,13C,LE,1,8,17,1,0,0,1,15,55,1,1,1,0,4
DP,25,13,13D,LE,1,4,5,3,0,0,0,16,56,1,1,2,0,3
MG,26,13,13A,LE,1,8,23,5,0,0,0,11,42,1,1,2,0,4
MG,26,13,13B,LE,1,6,13,0,1,0,0,16,57,1,1,2,1,4
MG,26,13,13C,LE,0,12,23,1,1,0,1,16,37,1,1,2,0,4
MG,26,13,13D,LE,0,11,21,0,1,0,1,11,39,1,1,1,0,4
DP,27,14,14A,LE,1,11,7,0,0,0,8,9,43,2,2,2,0,3
DP,27,14,14B,LE,0,13,9,4,2,0,1,8,48,6,2,2,0,1
DP,27,14,14C,LE,0,8,6,5,0,0,1,13,50,1,2,2,2,4
DP,27,14,14D,LE,1,13,6,0,0,0,0,13,86,6,2,2,0,0
MG,28,14,14A,LE,0,9,9,3,0,0,0,13,59,5,2,2,1,2
MG,28,14,14B,LE,0,13,7,1,0,0,0,13,72,1,1,2,1,4
MG,28,14,14C,LE,1,12,11,1,1,0,0,12,49,5,2,2,1,2
MG,28,14,14D,LE,0,12,8,0,0,0,1,15,79,4,2,2,0,2
DP,29,15,15A,LE,1,8,11,4,1,0,2,20,57,3,2,2,0,2
DP,29,15,15B,LE,0,13,7,2,11,0,6,21,60,3,1,2,0,2
DP,29,15,15C,LE,1,9,9,2,3,0,1,22,74,3,1,2,0,2
DP,29,15,15D,LE,0,6,5,5,0,0,3,25,66,3,2,2,0,2
MG,30,15,15A,LE,1,12,12,0,2,0,3,16,54,3,1,2,2,2
MG,30,15,15B,LE,1,13,14,0,0,0,6,17,48,3,1,2,1,2
MG,30,15,15C,LE,1,14,17,0,0,0,1,17,67,3,1,2,1,2
MG,30,15,15D,LE,0,7,17,0,1,0,6,17,49,3,1,1,2,2
DP,31,16,16A,LE,0,8,10,3,1,0,1,27,59,4,1,2,2,3
DP,31,16,16B,LE,0,8,4,0,0,0,0,19,48,4,1,2,2,3
DP,31,16,16C,LE,0,6,12,0,5,0,5,27,62,4,1,2,2,3
DP,31,16,16D,LE,0,7,3,2,0,0,5,11,37,2,1,2,2,3
MG,32,16,16A,LE,0,5,1,25,0,3,2,7,19,4,2,1,0,2
MG,32,16,16B,LE,0,5,0,15,0,0,0,4,32,3,1,2,0,2
MG,32,16,16C,LE,0,7,14,0,0,0,1,14,40,3,1,2,0,3
MG,32,16,16D,LE,0,6,0,22,0,1,1,6,26,3,2,2,2,3
DP,33,17,17A,EE,0,3,10,3,0,0,0,12,57,7,2,2,0,0
DP,33,17,17B,EE,0,3,0,15,0,0,0,9,39,3,2,1,0,0
MG,33,17,17A,EE,0,6,36,3,1,0,0,12,47,7,2,2,0,0
MG,33,17,17B,EE,0,5,23,3,0,1,2,11,47,6,2,2,1,0
DP,34,18,18A,EE,0,5,0,6,3,0,1,9,52,5,2,2,0,0
DP,34,18,18B,EE,0,9,3,0,0,0,4,6,18,5,2,1,0,0
MG,34,18,18A,EE,0,7,13,11,0,0,2,11,46,6,2,2,1,1
MG,34,18,18B,EE,0,8,17,0,0,0,3,11,48,6,2,2,0,0
DP,35,19,19A,LE,1,6,5,3,0,0,0,21,48,1,1,2,0,3
DP,35,19,19B,LE,1,7,7,6,0,0,1,9,35,1,1,2,0,3
DP,35,19,19C,LE,0,7,5,3,1,0,0,26,58,1,1,2,0,3
DP,35,19,19D,LE,0,4,4,0,0,0,0,16,46,1,1,2,0,3
MG,36,19,19A,LE,0,6,11,0,1,0,1,13,58,3,1,2,0,3
MG,36,19,19B,LE,1,10,7,1,1,1,1,17,61,3,1,2,0,3
MG,36,19,19C,LE,1,9,14,0,4,5,0,12,45,3,1,2,1,3
MG,36,19,19D,LE,1,7,5,13,0,10,3,12,52,3,1,2,0,3
DP,37,20,20A,LE,1,11,5,0,0,0,1,19,48,2,1,2,0,3
DP,37,20,20B,LE,1,13,6,0,2,0,2,19,55,3,1,2,1,2
DP,37,20,20C,LE,1,9,7,2,0,0,0,15,57,4,1,2,1,1
DP,37,20,20D,LE,1,9,6,4,2,0,1,20,60,4,1,2,0,1
MG,38,20,20A,LE,1,12,13,0,0,0,2,14,48,3,1,2,1,2
MG,38,20,20B,LE,1,13,7,3,0,13,1,14,55,3,1,1,2,2
MG,38,20,20C,LE,1,10,11,1,0,2,4,11,43,2,1,1,2,3
MG,38,20,20D,LE,0,10,18,4,0,5,2,14,42,2,1,1,2,3
DP,39,21,21A,LE,0,10,6,0,1,0,0,17,61,4,2,2,0,1
DP,39,21,21B,LE,1,6,8,1,0,0,0,14,59,5,2,2,0,1
DP,39,21,21C,LE,1,5,11,3,0,0,0,14,49,4,2,2,0,2
DP,39,21,21D,LE,1,15,12,0,0,0,2,13,53,4,2,2,0,2
MG,40,21,21A,LE,0,8,25,0,0,0,1,14,43,4,2,2,1,1
MG,40,21,21B,LE,0,15,24,5,0,0,1,14,60,3,1,2,0,2
MG,40,21,21C,LE,1,5,19,3,0,0,0,15,47,4,2,2,0,2
MG,40,21,21D,LE,1,6,23,4,0,0,0,14,47,3,2,1,0,2
DP,41,22,22A,WE,0,7,0,3,0,0,0,5,37,4,2,1,2,1
DP,41,22,22B,WE,0,7,0,4,0,0,1,11,36,4,2,1,2,2
MG,41,22,22A,WE,0,7,0,5,0,8,0,8,26,2,1,1,2,2
MG,41,22,22B,WE,0,9,0,14,0,0,0,7,37,5,2,2,1,2
DP,42,23,23A,WE,0,6,0,4,0,0,0,7,31,2,1,1,0,0
DP,42,23,23B,WE,0,6,0,5,0,0,1,6,32,2,1,1,0,0
MG,42,23,23A,WE,0,8,8,1,0,0,1,8,58,3,1,1,2,0
MG,42,23,23B,WE,0,6,9,0,0,0,0,8,46,3,1,2,2,2
DP,43,24,24A,EE,0,7,0,9,1,1,0,9,35,1,1,2,0,3
DP,43,24,24B,EE,0,7,3,5,0,0,1,12,45,2,1,2,0,3
DP,43,24,24C,EE,0,7,6,4,0,0,1,10,51,4,2,2,0,2
DP,43,24,24D,EE,0,9,6,1,0,0,1,10,59,5,2,2,0,2
MG,44,24,24A,EE,0,7,9,0,0,0,0,9,45,2,1,1,0,3
MG,44,24,24B,EE,0,11,1,19,0,21,0,7,32,2,1,2,0,3
MG,44,24,24C,EE,0,10,23,14,0,4,0,10,39,2,1,2,0,3
MG,44,24,24D,EE,0,7,17,3,0,1,1,9,50,2,2,2,0,3
DP,45,25,25A,LE,0,6,6,0,0,0,1,14,53,1,1,2,0,3
DP,45,25,25B,LE,0,6,7,4,7,4,1,16,65,1,1,2,0,4
DP,45,25,25C,LE,0,6,11,2,1,0,0,16,55,1,1,1,0,4
DP,45,25,25D,LE,0,6,10,2,10,2,0,13,52,1,1,2,0,4
MG,46,25,25A,LE,0,12,5,0,17,0,1,15,57,2,1,2,0,2
MG,46,25,25B,LE,0,11,12,0,1,0,1,19,56,2,1,2,1,3
MG,46,25,25C,LE,0,8,0,21,0,0,10,5,18,3,1,1,1,3
MG,46,25,25D,LE,0,7,6,10,0,5,2,15,53,3,1,2,0,2
DP,47,26,26A,LE,0,6,5,2,0,1,0,16,70,2,1,2,0,3
DP,47,26,26B,LE,1,6,5,1,0,1,1,14,60,2,1,2,0,3
DP,47,26,26C,LE,1,6,8,1,0,0,1,16,53,2,1,2,0,3
DP,47,26,26D,LE,1,6,8,0,0,1,1,15,45,2,2,2,0,3
MG,48,26,26A,LE,0,11,17,0,5,0,2,16,48,2,1,2,1,2
MG,48,26,26B,LE,1,13,21,0,0,0,3,15,47,2,1,2,1,3
MG,48,26,26C,LE,1,13,24,0,1,0,1,14,48,2,1,2,0,3
MG,48,26,26D,LE,1,12,22,0,0,0,1,16,59,2,1,2,0,3
DP,49,27,27A,LE,1,6,6,3,0,11,2,15,58,2,1,2,0,3
DP,49,27,27B,LE,0,7,9,0,4,0,0,15,55,2,1,2,0,3
DP,49,27,27C,LE,1,7,8,0,1,0,7,13,48,2,1,2,0,3
DP,49,27,27D,LE,1,7,5,1,2,5,2,12,45,2,1,2,1,3
MG,50,27,27A,LE,0,9,23,0,22,8,0,13,55,2,1,2,0,3
MG,50,27,27B,LE,1,11,4,0,9,29,0,15,59,2,1,2,0,3
MG,50,27,27C,LE,1,8,17,4,3,4,0,13,51,2,1,2,0,3
MG,50,27,27D,LE,1,9,20,0,3,2,0,10,45,2,1,1,0,3
DP,51,28,28A,EE,1,6,3,9,0,0,0,12,56,3,1,2,0,2
DP,51,28,28B,EE,1,6,8,4,0,0,1,12,52,3,1,1,1,2
DP,51,28,28C,EE,1,6,10,6,0,0,1,13,62,3,1,1,0,2
DP,51,28,28D,EE,1,6,6,0,0,1,1,10,50,3,1,2,2,3
MG,52,28,28A,EE,0,8,21,1,0,0,0,10,56,4,2,2,0,2
MG,52,28,28B,EE,0,7,17,0,0,0,4,14,58,3,1,1,0,2
MG,52,28,28C,EE,0,8,17,3,0,0,0,10,53,4,2,2,0,1
MG,52,28,28D,EE,0,4,16,2,0,0,1,13,54,4,2,2,0,2
DP,53,29,29A,LE,0,6,7,1,0,0,0,11,39,3,2,1,0,1
DP,53,29,29B,LE,1,6,16,1,1,0,2,16,53,3,1,1,1,2
DP,53,29,29C,LE,1,7,5,2,0,0,2,12,48,3,1,2,0,2
DP,53,29,29D,LE,0,7,5,2,0,0,0,12,65,3,1,2,1,3
MG,54,29,29A,LE,1,12,24,0,0,0,1,14,44,3,2,1,0,2
MG,54,29,29B,LE,1,11,29,0,1,0,0,13,32,3,2,1,1,2
MG,54,29,29C,LE,0,10,22,2,0,0,1,10,43,3,1,2,0,2
MG,54,29,29D,LE,1,7,31,0,1,0,0,10,42,3,1,1,0,2
DP,55,30,30A,LE,1,8,7,5,0,0,0,10,46,4,2,2,0,1
DP,55,30,30B,LE,1,7,5,6,0,1,0,8,49,4,1,2,0,2
DP,55,30,30C,LE,0,7,3,0,0,0,7,9,45,4,1,2,0,2
DP,55,30,30D,LE,0,7,7,6,0,0,0,12,61,4,1,2,0,2
MG,56,30,30A,LE,1,14,6,3,0,0,1,16,79,4,2,2,1,2
MG,56,30,30B,LE,1,12,25,4,0,0,0,11,43,5,2,2,0,2
MG,56,30,30C,LE,1,12,13,2,0,0,0,12,53,4,2,2,0,2
MG,56,30,30D,LE,1,10,20,4,0,0,0,9,40,3,1,2,0,2
DP,57,31,31A,LE,1,7,6,0,1,0,0,11,64,1,1,2,0,3
DP,57,31,31B,LE,1,7,11,0,0,0,0,10,71,2,1,2,0,3
DP,57,31,31C,LE,1,7,6,5,0,0,0,11,55,2,1,2,0,3
DP,57,31,31D,LE,1,7,10,2,0,0,0,11,46,2,1,2,1,3
MG,58,31,31A,LE,1,10,12,1,0,2,0,10,48,2,1,1,0,3
MG,58,31,31B,LE,1,12,11,2,0,0,0,11,73,2,1,2,0,3
MG,58,31,31C,LE,0,18,11,0,0,0,0,10,54,2,1,1,0,3
MG,58,31,31D,LE,0,7,17,1,0,0,0,10,44,1,1,1,0,3
