Observer,Transect_number,Observer_Transect_number,PointID,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
DP,59,32,32A,FP,0,6,8,0,1,0,1,15,50,2,1,2,1,3
DP,59,32,32B,FP,0,6,4,6,4,0,1,13,60,2,1,2,2,3
DP,59,32,32C,FP,0,6,8,2,1,0,1,14,52,2,1,2,1,3
DP,59,32,32D,FP,0,6,8,1,1,0,0,13,48,2,1,2,2,3
MG,60,32,32A,FP,0,11,24,0,1,0,1,14,52,3,1,2,2,2
MG,60,32,32B,FP,0,10,17,2,0,1,2,13,46,2,1,2,2,3
MG,60,32,32C,FP,0,8,9,27,1,1,2,11,52,3,2,2,0,2
MG,60,32,32D,FP,0,10,21,0,9,2,1,16,47,2,1,1,1,3
DP,61,33,33A,FP,0,6,8,0,0,0,2,12,49,1,1,1,0,4
DP,61,33,33B,FP,0,6,0,8,0,0,0,6,16,2,1,1,0,3
MG,61,33,33A,FP,0,12,9,0,0,0,0,14,59,3,1,2,0,3
MG,61,33,33B,FP,0,6,12,0,0,3,1,14,56,1,1,1,2,4
DP,62,34,34A,EE,1,5,8,6,0,0,1,12,49,3,1,2,0,2
DP,62,34,34B,EE,1,5,8,2,0,0,0,10,48,3,1,2,0,2
DP,62,34,34C,EE,1,5,8,6,0,0,0,11,52,3,1,2,0,2
DP,62,34,34D,EE,1,5,5,5,0,0,1,12,47,3,1,2,0,2
MG,63,34,34A,EE,0,10,30,2,0,0,0,11,34,4,1,2,0,1
MG,63,34,34B,EE,1,11,15,0,0,0,2,9,54,4,2,2,1,2
MG,63,34,34C,EE,1,15,20,3,0,0,0,11,47,3,1,2,1,1
MG,63,34,34D,EE,1,12,23,2,0,0,0,11,46,3,2,2,1,2
DP,64,35,35A,EE,1,5,8,6,0,0,2,12,51,3,1,1,0,2
DP,64,35,35B,EE,1,5,4,4,0,0,1,11,49,3,2,1,2,2
DP,64,35,35C,EE,1,5,7,3,0,2,1,11,52,3,1,1,0,2
DP,64,35,35D,EE,1,5,6,1,0,1,2,13,53,2,1,2,1,2
MG,65,35,35A,EE,1,7,20,1,2,0,0,12,53,3,1,1,0,2
MG,65,35,35B,EE,1,9,17,3,0,0,0,8,52,2,1,1,0,2
MG,65,35,35C,EE,0,5,16,7,0,0,6,8,33,1,1,1,0,3
MG,65,35,35D,EE,1,6,6,1,0,0,2,11,50,2,1,1,0,3
DP,66,36,36A,EE,1,6,5,1,0,0,0,12,66,2,1,2,1,2
DP,66,36,36B,EE,1,6,10,2,0,0,0,11,53,3,1,2,0,2
DP,66,36,36C,EE,0,5,5,6,0,0,1,12,47,3,1,2,1,2
DP,66,36,36D,EE,1,7,4,7,0,0,0,9,49,3,1,2,0,2
MG,67,36,36A,EE,1,16,15,1,0,0,0,12,52,3,1,2,0,2
MG,67,36,36B,EE,0,10,4,5,0,2,0,12,67,4,2,2,0,2
MG,67,36,36C,EE,0,10,18,0,0,0,1,12,45,3,1,2,0,2
MG,67,36,36D,EE,1,11,23,1,0,0,1,12,51,3,1,2,0,2
DP,68,37,37A,EE,1,9,10,6,0,0,0,11,53,3,1,2,0,2
DP,68,37,37B,EE,1,6,11,1,0,0,0,13,47,3,2,2,0,2
DP,68,37,37C,EE,0,9,5,3,0,0,0,11,47,4,2,1,0,2
DP,68,37,37D,EE,1,13,5,6,0,0,0,12,51,4,2,2,0,2
MG,69,37,37A,EE,1,11,12,2,0,0,0,12,55,2,1,1,0,2
MG,69,37,37B,EE,0,6,11,1,0,0,0,16,65,4,2,2,0,2
MG,69,37,37C,EE,1,12,23,0,0,0,0,10,46,3,1,1,0,2
MG,69,37,37D,EE,0,14,18,0,0,0,0,13,49,3,1,1,0,2
DP,70,38,38A,LE,1,9,12,4,0,0,2,16,60,3,1,2,2,2
DP,70,38,38B,LE,1,7,12,2,0,0,2,16,54,3,2,2,0,2
DP,70,38,38C,LE,1,9,3,12,0,0,2,7,22,3,1,2,0,2
DP,70,38,38D,LE,1,9,7,13,0,0,0,11,57,3,1,2,0,2
MG,71,38,38A,LE,1,13,8,1,0,0,3,17,74,3,2,2,1,2
MG,71,38,38B,LE,1,10,9,4.5,3,0.5,2,16,61,3,1,2,1,2
MG,71,38,38C,LE,0,10,18,0,6,0,2,16,58,3,1,2,2,2
MG,71,38,38D,LE,0,11,9,4,6,0,3,17,64,3,1,2,2,2
DP,72,39,39A,LE,1,6,10,1,0,0,2,17,45,2,1,2,0,3
DP,72,39,39B,LE,1,7,7,2,1,0,0,18,84,2,1,1,0,3
DP,72,39,39C,LE,1,6,5,15,0,0,0,17,76,2,1,1,1,3
DP,72,39,39D,LE,1,8,9,2,0,0,1,16,64,2,1,2,0,3
MG,73,39,39A,LE,0,11,11,0,2,1,0,16,61,2,1,2,2,3
MG,73,39,39B,LE,1,5,1,26,0,6,0,10,29,2,1,2,1,3
MG,73,39,39C,LE,1,7,7,5,0,0,2,16,68,2,1,2,2,3
MG,73,39,39D,LE,0,11,17,0,2,0,0,14,55,2,1,2,1,3
DP,74,40,40A,LE,1,10,13,1,0,0,0,15,61,2,1,2,0,3
DP,74,40,40B,LE,0,8,3,9,3,0,3,14,39,2,1,1,1,3
DP,74,40,40C,LE,0,8,6,0,0,0,0,14,56,2,1,2,0,3
DP,74,40,40D,LE,1,3,9,0,1,0,0,12,45,2,1,1,0,3
MG,75,40,40A,LE,0,9,11,1,0,2,0,17,60,2,1,2,0,3
MG,75,40,40B,LE,0,7,20,4,0,9,0,10,43,2,1,2,0,3
MG,75,40,40C,LE,0,5,15,0,0,0,1,15,54,2,1,2,0,3
MG,75,40,40D,LE,1,2,21,0,2,0,1,13,52,2,1,2,1,3
DP,76,41,41A,LE,1,2,10,2,0,0,1,16,60,2,1,2,0,3
DP,76,41,41B,LE,1,5,6,2,0,0,1,14,56,2,1,2,1,3
DP,76,41,41C,LE,1,3,11,3,0,0,1,16,53,2,1,2,1,3
DP,76,41,41D,LE,1,8,6,5,0,1,0,15,48,2,1,1,2,3
MG,77,41,41A,LE,1,10,20,1,1,1,1,13,45,2,1,2,0,3
MG,77,41,41B,LE,1,7,17,12,0,2,2,12,55,2,1,2,1,3
MG,77,41,41C,LE,1,12,16,6,0,27,1,10,43,2,1,2,0,3
MG,77,41,41D,LE,1,11,15,2,0,5,0,15,51,2,1,2,0,3
DP,78,42,42A,LE,0,3,3,0,2,0,3,16,50,2,1,1,2,3
DP,78,42,42B,LE,1,3,5,0,0,0,4,16,50,2,1,1,2,3
DP,78,42,42C,LE,0,7,5,0,1,0,4,13,51,2,1,1,0,3
DP,78,42,42D,LE,0,4,8,0,2,0,3,14,57,2,2,2,2,3
MG,79,42,42A,LE,0,8,4,0,2,0,7,13,46,2,1,1,1,3
MG,79,42,42B,LE,1,4,8,0,1,0,7,13,46,2,1,1,0,3
MG,79,42,42C,LE,0,5,9,0,1,0,5,15,56,2,1,1,0,3
MG,79,42,42D,LE,0,7,13,0,3,0,3,13,58,2,1,2,2,3
DP,80,43,43A,EE,0,6,0,11,0,0,0,5,12,6,2,2,0,0
DP,80,43,43B,EE,1,6,9,0,0,0,1,13,71,5,2,2,0,1
DP,80,43,43C,EE,0,13,5,0,0,0,0,14,64,6,2,2,0,0
DP,80,43,43D,EE,0,8,3,2,0,0,0,9,39,5,2,2,0,1
MG,81,43,43A,EE,1,7,16,3,1,0,3,12,52,3,2,2,2,2
MG,81,43,43B,EE,1,7,9,8,0,0,1,14,63,5,2,2,2,2
MG,81,43,43C,EE,1,9,22,0,0,0,2,13,58,3,2,2,0,2
MG,81,43,43D,EE,0,13,14,0,2,0,1,12,53,3,2,2,1,2
DP,82,44,44A,EE,1,11,8,0,0,0,2,11,65,1,1,1,0,4
DP,82,44,44B,EE,1,10,5,0,0,0,2,16,74,1,1,1,2,4
MG,82,44,44A,EE,0,11,10,0,1,6,0,11,65,1,2,2,0,4
MG,82,44,44B,EE,1,12,10,0,0,10,1,15,63,1,1,1,1,4
DP,83,45,45A,LE,0,11,8,1,0,0,0,11,50,1,1,1,0,4
DP,83,45,45B,LE,0,0,8,2,0,0,1,13,57,1,1,1,0,4
DP,83,45,45C,LE,1,9,5,2,0,0,0,11,55,1,1,2,0,4
DP,83,45,45D,LE,1,9,10,4,0,0,0,13,59,1,1,2,1,4
MG,84,45,45A,LE,0,10,22,4,0,1,0,9,42,1,1,1,2,3
MG,84,45,45B,LE,0,7,17,3,0,0,0,13,47,2,1,1,2,3
MG,84,45,45C,LE,0,12,11,6,0,0,1,9,44,2,1,2,1,3
MG,84,45,45D,LE,0,12,19,3,0,0,0,11,44,2,1,2,2,3
DP,85,46,46A,LE,0,4,6,5,0,0,1,5,45,1,1,1,1,3
DP,85,46,46B,LE,0,5,3,9,0,0,0,8,33,2,1,1,1,3
DP,85,46,46C,LE,0,8,3,6,0,0,0,8,68,2,1,2,0,3
DP,85,46,46D,LE,0,7,6,2,0,0,1,9,53,2,1,1,0,3
MG,86,46,46A,LE,0,6,5,2,3,0,1,13,66,2,2,1,1,3
MG,86,46,46B,LE,0,8,15,7,0,1,0,12,51,1,1,1,2,3
MG,86,46,46C,LE,0,9,6,2,1,1,0,13,49,1,1,1,2,3
MG,86,46,46D,LE,0,7,11,1,0,0,0,14,47,2,2,1,2,3
DP,87,47,47A,LE,1,4,6,4,0,0,2,14,46,2,1,2,0,3
DP,87,47,47B,LE,0,10,0,0,9,1,1,14,55,2,1,1,0,3
DP,87,47,47C,LE,1,8,7,2,0,0,1,9,45,2,1,2,0,3
DP,87,47,47D,LE,1,9,8,5,1,0,1,15,48,2,1,2,0,3
MG,88,47,47A,LE,0,10,17,3,0,6,1,15,51,2,1,2,0,3
MG,88,47,47B,LE,0,16,0,0,16,10,1,14,51,2,1,2,0,3
MG,88,47,47C,LE,0,13,15,2,0,2,0,15,52,2,1,2,0,3
MG,88,47,47D,LE,0,11,4,0,18,6,0,13,70,2,1,2,0,3
DP,89,48,48A,LE,0,3,0,15,0,1,1,7,22,2,1,1,2,3
DP,89,48,48B,LE,0,2,2,3,7,0,1,6,31,2,1,2,2,3
DP,89,48,48C,LE,0,11,1,0,5,6,1,15,46,2,1,1,0,3
DP,89,48,48D,LE,0,8,1,4,0,0,1,10,32,3,2,1,2,3
MG,90,48,48A,LE,1,10,12,4,5,5,0,13,44,2,1,2,0,3
MG,90,48,48B,LE,1,8,15,9,2,4,0,10,43,2,1,2,1,3
MG,90,48,48C,LE,1,12,8,2,9,3,0,14,56,2,1,2,2,3
MG,90,48,48D,LE,1,7,12,9,1,9,4,12,37,2,1,2,0,3
DP,91,49,49A,EE,1,12,2,0,1,0,0,13,68,2,1,2,0,3
DP,91,49,49B,EE,0,13,8,0,0,0,1,12,61,2,1,2,2,3
DP,91,49,49C,EE,0,8,1,0,0,2,0,11,63,2,1,2,0,3
DP,91,49,49D,EE,0,9,5,0,6,0,2,8,50,2,1,2,1,3
MG,92,49,49A,EE,1,12,14,0,3,0,2,11,50,2,1,1,0,2
MG,92,49,49B,EE,1,9,20,2,0,0,0,11,56,3,1,2,0,2
MG,92,49,49C,EE,0,10,19,1,0,0,0,11,53,3,1,2,0,2
MG,92,49,49D,EE,0,13,16,0,0,0,0,11,47,3,1,2,0,2
DP,93,50,50A,LE,1,6,4,0,0,0,2,16,60,2,1,2,1,3
DP,93,50,50B,LE,1,3,6,0,0,0,1,16,60,2,1,2,0,3
DP,93,50,50C,LE,1,11,9,1,1,0,1,14,52,2,1,2,0,3
DP,93,50,50D,LE,1,12,5,3,0,0,4,12,48,2,1,2,2,3
MG,94,50,50A,LE,1,13,11,3,0,0,0,13,40,2,1,2,0,3
MG,94,50,50B,LE,1,6,19,1,0,0,1,13,48,2,1,2,1,3
MG,94,50,50C,LE,1,18,15,0,2,0,1,17,51,2,1,2,0,3
MG,94,50,50D,LE,0,11,18,0,0,0,0,15,51,2,1,2,0,3
DP,95,51,51A,LE,0,5,6,1,0,0,1,12,48,2,1,2,0,3
DP,95,51,51B,LE,0,9,8,1,0,1,1,15,47,2,1,2,0,3
DP,95,51,51C,LE,1,8,8,1,0,0,1,14,47,2,1,2,2,3
DP,95,51,51D,LE,0,12,6,0,0,1,2,10,41,2,1,2,0,3
MG,96,51,51A,LE,0,1,9,1,1,2,1,13,51,2,1,2,0,3
MG,96,51,51B,LE,0,12,17,0,3,0,2,13,54,2,1,2,0,3
MG,96,51,51C,LE,0,8,9,2,1,2,4,16,52,3,1,1,0,3
MG,96,51,51D,LE,0,5,10,0,5,0,2,13,41,2,1,2,0,3
DP,97,52,52A,LE,0,9,3,3,0,0,5,8,33,2,1,2,2,2
DP,97,52,52B,LE,1,11,11,1,0,0,2,13,46,4,1,2,1,2
DP,97,52,52C,LE,0,8,9,0,0,0,1,13,53,2,1,2,0,3
DP,97,52,52D,LE,1,10,2,9,1,0,2,5,26,3,1,2,1,2
MG,98,52,52A,LE,0,8,24,16,0,0,0,12,45,3,1,2,0,2
MG,98,52,52B,LE,0,6,11,23,0,0,0,11,35,3,1,2,0,2
MG,98,52,52C,LE,1,12,23,0,1,0,5,13,51,2,1,2,2,3
MG,98,52,52D,LE,1,10,21,1,1,1,2,14,47,2,1,2,0,3
DP,99,53,53A,LE,1,3,3,9,0,0,0,13,48,3,2,2,2,2
DP,99,53,53B,LE,1,10,7,0,1,0,1,13,54,3,2,2,1,2
DP,99,53,53C,LE,1,7,6,1,0,0,1,13,60,3,1,2,0,2
DP,99,53,53D,LE,1,13,10,1,0,0,1,13,54,3,1,2,2,2
MG,100,53,53A,LE,1,12,31,16,0,0,1,11,44,4,1,2,0,1
MG,100,53,53B,LE,0,10,5,24,1,3,1,9,30,4,1,1,0,2
MG,100,53,53C,LE,0,14,18,5,1,0,0,15,48,4,2,2,0,2
MG,100,53,53D,LE,1,19,16,2,0,0,0,13,50,4,1,2,1,2
DP,101,54,54A,EE,1,6,0,6,1,0,0,6,13,2,1,2,2,3
DP,101,54,54B,EE,1,4,7,0,0,0,1,11,55,2,1,2,0,3
DP,101,54,54C,EE,0,13,8,3,0,0,0,13,57,2,1,2,0,3
DP,101,54,54D,EE,1,15,6,2,0,0,0,11,60,2,2,2,0,3
MG,102,54,54A,EE,1,10,31,7,0,1,1,11,37,2,1,2,0,3
MG,102,54,54B,EE,1,8,24,3,0,1,2,12,41,2,1,1,0,3
MG,102,54,54C,EE,1,16,17,4,0,0,3,11,41,2,1,1,0,3
MG,102,54,54D,EE,0,15,33,2,0,0,1,11,43,2,1,1,0,3
DP,103,55,55A,EE,0,16,6,4,0,0,1,10,46,4,2,2,0,0
DP,103,55,55B,EE,0,16,4,9,0,0,0,11,41,5,2,2,0,0
DP,103,55,55C,EE,0,3,1,10,0,0,0,6,22,5,2,2,0,0
DP,103,55,55D,EE,0,12,6,8,0,0,0,10,57,5,2,2,0,0
MG,104,55,55A,EE,0,19,25,3,0,0,0,12,40,6,2,2,0,1
MG,104,55,55B,EE,0,12,19,4,0,0,0,12,53,3,2,2,0,1
MG,104,55,55C,EE,0,16,18,5,0,0,0,10,39,5,2,2,0,1
MG,104,55,55D,EE,1,7,18,3,0,0,2,11,51,4,2,1,0,2
DP,105,56,56A,EE,1,4,9,0,0,0,1,15,48,2,1,2,2,3
DP,105,56,56B,EE,1,12,6,0,0,0,3,14,51,2,1,2,0,3
DP,105,56,56C,EE,1,7,6,1,0,0,0,14,61,2,1,2,0,3
DP,105,56,56D,EE,1,4,8,1,1,0,3,16,67,2,1,2,1,3
MG,106,56,56A,EE,1,12,10,0,1,0,0,16,66,2,1,2,1,3
MG,106,56,56B,EE,1,15,12,0,2,0,0,16,62,2,1,2,0,3
MG,106,56,56C,EE,1,13,13,0,0,0,1,18,55,2,1,2,1,3
MG,106,56,56D,EE,1,9,16,0,1,0,1,16,55,2,1,2,0,3
DP,107,57,57A,EE,1,8,13,0,0,0,1,10,36,3,2,2,0,2
DP,107,57,57B,EE,1,7,7,6,0,0,0,11,43,3,1,2,0,2
DP,107,57,57C,EE,1,12,3,5,0,0,0,11,59,3,1,2,1,2
DP,107,57,57D,EE,0,9,9,2,0,0,1,12,51,3,2,2,0,2
MG,108,57,57A,EE,1,14,31,4,0,1,0,11,40,3,1,1,0,2
MG,108,57,57B,EE,0,13,25,3,0,0,2,12,47,3,1,2,0,2
MG,108,57,57C,EE,1,8,18,2,0,2,0,12,47,3,1,2,0,2
MG,108,57,57D,EE,1,11,16,3,0,0,0,13,56,4,1,2,0,2
DP,109,58,58A,LE,0,6,8,2,0,0,0,15,61,2,1,2,0,3
DP,109,58,58B,LE,0,4,0,11,0,0,0,5,19,3,2,1,0,2
DP,109,58,58C,LE,0,10,8,1,0,0,1,11,51,3,1,1,0,2
DP,109,58,58D,LE,0,5,3,1,0,0,2,16,64,2,1,1,2,3
MG,110,58,58A,LE,0,7,14,0,1,0,3,15,47,3,1,1,0,2
MG,110,58,58B,LE,0,6,0,6,0,0,0,9,41,4,2,1,0,1
MG,110,58,58C,LE,0,11,8,0,3,0,1,17,56,2,1,2,2,3
MG,110,58,58D,LE,0,14,22,1,0,1,1,15,53,4,2,2,0,2
DP,111,59,59A,EE,0,7,5,1,0,0,1,12,52,5,2,2,1,1
DP,111,59,59B,EE,0,13,10,0,0,0,1,14,71,5,2,2,0,1
DP,111,59,59C,EE,1,5,5,0,0,0,0,13,58,5,2,2,0,1
DP,111,59,59D,EE,0,5,8,0,0,0,0,12,66,4,2,2,0,1
MG,112,59,59A,EE,1,12,17,5,0,0,1,12,52,5,2,2,0,1
MG,112,59,59B,EE,1,9,17,1,6,0,0,11,51,4,2,2,0,2
MG,112,59,59C,EE,1,4,10,1,0,0,2,12,45,4,2,2,0,2
MG,112,59,59D,EE,0,6,13,1,0,0,0,14,59,3,2,2,0,2
DP,113,60,60A,LE,0,9,9,2,0,0,10,16,57,2,1,2,0,3
DP,113,60,60B,LE,0,8,2,14,0,0,1,11,48,3,1,2,1,3
DP,113,60,60C,LE,1,7,8,2,1,2,1,16,63,1,1,2,0,4
DP,113,60,60D,LE,0,4,6,1,0,2,0,15,55,2,1,2,1,3
MG,114,60,60A,LE,0,14,20,2,0,0,0,17,62,3,1,2,2,2
MG,114,60,60B,LE,1,2,19,1,1,0,3,17,55,3,1,2,1,2
MG,114,60,60C,LE,0,11,17,1,1,0,2,16,51,3,2,2,0,2
MG,114,60,60D,LE,0,12,24,3,0,0,1,16,44,3,1,2,0,2
DP,115,61,61A,EE,0,6,7,5,0,0,0,11,46,2,1,2,1,3
DP,115,61,61B,EE,0,9,7,0,0,0,1,11,45,2,1,2,1,3
DP,115,61,61C,EE,0,7,0,19,0,0,0,7,34,3,2,1,0,2
DP,115,61,61D,EE,0,3,3,11,0,0,0,9,47,2,2,2,0,3
MG,116,61,61A,EE,0,8,12,12,0,15,1,10,44,2,2,1,0,3
MG,116,61,61B,EE,0,5,20,0,3,1,0,12,45,2,2,2,0,3
MG,116,61,61C,EE,0,10,22,0,0,0,0,10,41,2,1,2,0,3
MG,116,61,61D,EE,0,9,18,1,1,1,0,9,50,2,2,2,0,3
